Genre,Series Name,Series URL,Episode Title,Broadcast Date,Audio Source / Link
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Patients For The Doctor,1943.11.21,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-11-21_patients_for_the_doctor.mp3&dl_series=The Whistler&dl_title=Patients For The Doctor&dl_date=1943.11.21&dl_size=6.86 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Twin,1943.12.05,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-12-05_the_twin.mp3&dl_series=The Whistler&dl_title=The Twin&dl_date=1943.12.05&dl_size=7.17 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Demands A Payment,1943.12.19,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1943-12-19_death_demands_a_payment.mp3&dl_series=The Whistler&dl_title=Death Demands A Payment&dl_date=1943.12.19&dl_size=6.71 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Murder In The Mind,1944.02.13,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-02-13_murder_in_the_mind.mp3&dl_series=The Whistler&dl_title=Murder In The Mind&dl_date=1944.02.13&dl_size=6.04 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,The Doctor Prescribes Death,1944.06.11,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-06-11_the_doctor_prescribes_death.mp3&dl_series=The Whistler&dl_title=The Doctor Prescribes Death&dl_date=1944.06.11&dl_size=6.78 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Star Shadow,1944.07.22,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-07-22_star_shadow.mp3&dl_series=The Whistler&dl_title=Star Shadow&dl_date=1944.07.22&dl_size=5.55 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Last Of The Deveraux,1944.07.23,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-07-23_last_of_the_deveraux.mp3&dl_series=The Whistler&dl_title=Last Of The Deveraux&dl_date=1944.07.23&dl_size=6.64 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Till Death Do Us Part,1944.07.30,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-07-30_till_death_do_us_part.mp3&dl_series=The Whistler&dl_title=Till Death Do Us Part&dl_date=1944.07.30&dl_size=6.33 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Practically Foolproof,1944.09.03,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-09-03_practically_foolproof.mp3&dl_series=The Whistler&dl_title=Practically Foolproof&dl_date=1944.09.03&dl_size=6.63 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Local Storm,1944.09.10,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-09-10_local_storm.mp3&dl_series=The Whistler&dl_title=Local Storm&dl_date=1944.09.10&dl_size=6.74 MB
